id_cliente,nombre_cliente,provincia,localidad,categoria_cliente
1,Julieta Torres,Chaco,Quitilipi,distribuidor
2,Romina Martínez,Chaco,Charata,supermercado
3,Nadia Villalba,Misiones,Leandro N. Alem,restaurante
4,Jorge Acosta,Misiones,San Vicente,kiosco
5,Florencia García,Chaco,Charata,kiosco
6,Diego Valdez,Misiones,Eldorado,restaurante
7,Jorge Villalba,Chaco,Villa Ángela,almacén
8,Ivana Fernández,Formosa,Laguna Blanca,almacén
9,Ezequiel Romero,Formosa,Riacho He-Hé,almacén
10,Elena Gómez,Misiones,San Vicente,almacén
11,Gabriel Romero,Chaco,Fontana,distribuidor
12,Noelia Valdez,Misiones,Montecarlo,almacén
13,Lucía Martínez,Chaco,Resistencia,restaurante
14,Marta Acosta,Formosa,Riacho He-Hé,almacén
15,Nicolás Valdez,Misiones,Posadas,kiosco
16,Luis Villalba,Chaco,Charata,kiosco
17,Lucía Villalba,Misiones,Eldorado,supermercado
18,Marta Castro,Formosa,Herradura,distribuidor
19,Damián Torres,Corrientes,Curuzú Cuatiá,distribuidor
20,Ariel Domínguez,Corrientes,Curuzú Cuatiá,kiosco
21,Daniel Molina,Formosa,Riacho He-Hé,supermercado
22,Romina Pérez,Formosa,Herradura,restaurante
23,Ivana Martínez,Misiones,Aristóbulo del Valle,restaurante
24,Ivana Castro,Misiones,Eldorado,kiosco
25,Jorge Aguirre,Formosa,Riacho He-Hé,supermercado
26,Maximiliano Álvarez,Chaco,Presidencia Roque Sáenz Peña,restaurante
27,Sofía López,Chaco,Barranqueras,supermercado
28,María Acosta,Misiones,Apóstoles,distribuidor
29,Lucía Gómez,Misiones,Oberá,distribuidor
30,José Romero,Corrientes,Ituzaingó,kiosco
31,Jorge Domínguez,Misiones,Puerto Iguazú,almacén
32,Juan Benítez,Chaco,Barranqueras,kiosco
33,Gabriel Duarte,Corrientes,Saladas,almacén
34,Ariel Domínguez,Misiones,Leandro N. Alem,restaurante
35,Cintia Acosta,Chaco,Barranqueras,distribuidor
36,Nadia Suárez,Misiones,Oberá,supermercado
37,Elena Gómez,Formosa,Pirané,distribuidor
38,Esteban Domínguez,Corrientes,Esquina,distribuidor
39,Julieta Suárez,Corrientes,Curuzú Cuatiá,restaurante
40,Brenda Rojas,Misiones,Oberá,restaurante
41,Nicolás Romero,Formosa,El Colorado,kiosco
42,Nicolás Villalba,Chaco,General San Martín,kiosco
